order_id,order_date,order_year,order_month,order_month_name,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,list_price,discount_percent,selling_price,sales,total_cost,profit,profit_margin_pct
1,2023-03-01,2023,3,March,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,2,260,2,254.79999999999998,509.59999999999997,480,29.599999999999966,5.80847723704866
2,2023-08-15,2023,8,August,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,3,730,3,708.1,2124.3,1800,324.3000000000002,15.266205338229073
3,2023-01-10,2023,1,January,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,OFF-LA-10000240,2,10,5,9.5,19.0,20,-1.0,-5.263157894736842
4,2022-06-18,2022,6,June,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,FUR-TA-10000577,5,960,2,940.8,4704.0,3900,804.0,17.091836734693878
5,2022-07-13,2022,7,July,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,OFF-ST-10000760,2,20,5,19.0,38.0,40,-2.0,-5.263157894736842
6,2022-03-13,2022,3,March,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,FUR-FU-10001487,7,50,3,48.5,339.5,350,-10.5,-3.0927835051546393
7,2022-12-28,2022,12,December,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,OFF-AR-10002833,4,10,3,9.7,38.8,40,-1.2000000000000028,-3.0927835051546464
8,2022-01-25,2022,1,January,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002275,6,910,5,864.5,5187.0,5160,27.0,0.5205320994794679
9,2023-03-23,2023,3,March,Not Available,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,OFF-BI-10003910,3,20,2,19.6,58.800000000000004,60,-1.1999999999999957,-2.0408163265306047
10,2023-05-16,2023,5,May,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,OFF-AP-10002892,5,110,3,106.7,533.5,450,83.5,15.651358950328023
11,2023-03-31,2023,3,March,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,FUR-TA-10001539,9,1710,3,1658.7,14928.300000000001,13230,1698.300000000001,11.376379092060054
12,2023-12-25,2023,12,December,Not Available,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002033,4,910,3,882.6999999999999,3530.7999999999997,3000,530.7999999999997,15.033420188059358
13,2022-02-11,2022,2,February,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,OFF-PA-10002365,3,20,3,19.4,58.199999999999996,60,-1.8000000000000043,-3.0927835051546464
14,2023-07-18,2023,7,July,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10003656,3,410,2,401.8,1205.4,1080,125.40000000000009,10.403185664509714
15,2023-11-09,2023,11,November,unknown,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,OFF-AP-10002311,5,70,5,66.5,332.5,300,32.5,9.774436090225564
16,2022-06-18,2022,6,June,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,3,0,5,0.0,0.0,0,0.0,
17,2022-02-04,2022,2,February,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,6,670,3,649.9,3899.3999999999996,3660,239.39999999999964,6.13940606247114
18,2023-08-04,2023,8,August,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,2,60,4,57.599999999999994,115.19999999999999,120,-4.800000000000011,-4.166666666666677
19,2022-01-23,2022,1,January,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,2,10,4,9.6,19.2,20,-0.8000000000000007,-4.1666666666666705
20,2022-01-11,2022,1,January,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,3,210,3,203.7,611.0999999999999,510,101.09999999999991,16.54393716249385
