order_id,order_date,order_year,order_month,order_month_name,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,list_price,discount_percent,selling_price,sales,total_cost,profit,profit_margin_pct
1,2023-03-01,2023,3,March,"Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,2,260.00,2.00,254.80,509.60,480.00,29.60,5.81
2,2023-08-15,2023,8,August,"Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,3,730.00,3.00,708.10,2124.30,1800.00,324.30,15.27
3,2023-01-10,2023,1,January,"Second Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Labels,OFF-LA-10000240,2,10.00,5.00,9.50,19.00,20.00,-1.00,-5.26
4,2022-06-18,2022,6,June,"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,Furniture,Tables,FUR-TA-10000577,5,960.00,2.00,940.80,4704.00,3900.00,804.00,17.09
5,2022-07-13,2022,7,July,"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,"Office Supplies",Storage,OFF-ST-10000760,2,20.00,5.00,19.00,38.00,40.00,-2.00,-5.26
6,2022-03-13,2022,3,March,"Not Available",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,FUR-FU-10001487,7,50.00,3.00,48.50,339.50,350.00,-10.50,-3.09
7,2022-12-28,2022,12,December,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Art,OFF-AR-10002833,4,10.00,3.00,9.70,38.80,40.00,-1.20,-3.09
8,2022-01-25,2022,1,January,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,TEC-PH-10002275,6,910.00,5.00,864.50,5187.00,5160.00,27.00,0.52
9,2023-03-23,2023,3,March,"Not Available",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Binders,OFF-BI-10003910,3,20.00,2.00,19.60,58.80,60.00,-1.20,-2.04
10,2023-05-16,2023,5,May,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Appliances,OFF-AP-10002892,5,110.00,3.00,106.70,533.50,450.00,83.50,15.65
11,2023-03-31,2023,3,March,"Not Available",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Tables,FUR-TA-10001539,9,1710.00,3.00,1658.70,14928.30,13230.00,1698.30,11.38
12,2023-12-25,2023,12,December,"Not Available",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,TEC-PH-10002033,4,910.00,3.00,882.70,3530.80,3000.00,530.80,15.03
13,2022-02-11,2022,2,February,"Standard Class",Consumer,"United States",Concord,"North Carolina",28027,South,"Office Supplies",Paper,OFF-PA-10002365,3,20.00,3.00,19.40,58.20,60.00,-1.80,-3.09
14,2023-07-18,2023,7,July,"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,"Office Supplies",Binders,OFF-BI-10003656,3,410.00,2.00,401.80,1205.40,1080.00,125.40,10.40
15,2023-11-09,2023,11,November,unknown,"Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Appliances,OFF-AP-10002311,5,70.00,5.00,66.50,332.50,300.00,32.50,9.77
16,2022-06-18,2022,6,June,"Standard Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Binders,OFF-BI-10000756,3,0.00,5.00,0.00,0.00,0.00,0.00,NULL
17,2022-02-04,2022,2,February,"Standard Class",Consumer,"United States",Madison,Wisconsin,53711,Central,"Office Supplies",Storage,OFF-ST-10004186,6,670.00,3.00,649.90,3899.40,3660.00,239.40,6.14
18,2023-08-04,2023,8,August,"Second Class",Consumer,"United States","West Jordan",Utah,84084,West,"Office Supplies",Storage,OFF-ST-10000107,2,60.00,4.00,57.60,115.20,120.00,-4.80,-4.17
19,2022-01-23,2022,1,January,"Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Art,OFF-AR-10003056,2,10.00,4.00,9.60,19.20,20.00,-0.80,-4.17
20,2022-01-11,2022,1,January,"Second Class",Consumer,"United States","San Francisco",California,94109,West,Technology,Phones,TEC-PH-10001949,3,210.00,3.00,203.70,611.10,510.00,101.10,16.54
21,2022-10-05,2022,10,October,"Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Binders,OFF-BI-10002215,4,20.00,2.00,19.60,78.40,80.00,-1.60,-2.04
22,2023-07-16,2023,7,July,"Standard Class",Corporate,"United States",Fremont,Nebraska,68025,Central,"Office Supplies",Art,OFF-AR-10000246,7,20.00,4.00,19.20,134.40,140.00,-5.60,-4.17
23,2023-05-06,2023,5,May,"Standard Class",Corporate,"United States",Fremont,Nebraska,68025,Central,"Office Supplies",Appliances,OFF-AP-10001492,7,60.00,3.00,58.20,407.40,350.00,57.40,14.09
24,2023-05-21,2023,5,May,"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,2,70.00,4.00,67.20,134.40,120.00,14.40,10.71
25,2023-02-24,2023,2,February,"Standard Class",Consumer,"United States",Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,3,1040.00,5.00,988.00,2964.00,2700.00,264.00,8.91
26,2022-06-20,2022,6,June,"Second Class",Consumer,"United States","Los Angeles",California,90049,West,"Office Supplies",Binders,OFF-BI-10001634,2,10.00,5.00,9.50,19.00,20.00,-1.00,-5.26
27,2022-02-08,2022,2,February,"Second Class",Consumer,"United States","Los Angeles",California,90049,West,Technology,Accessories,TEC-AC-10003027,3,90.00,3.00,87.30,261.90,240.00,21.90,8.36
28,2023-12-11,2023,12,December,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,7,3080.00,3.00,2987.60,20913.20,19180.00,1733.20,8.29
29,2022-08-21,2022,8,August,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,OFF-BI-10000474,2,10.00,5.00,9.50,19.00,20.00,-1.00,-5.26
30,2022-08-14,2022,8,August,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,3,120.00,4.00,115.20,345.60,300.00,45.60,13.19
31,2022-11-20,2022,11,November,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Envelopes,OFF-EN-10001509,2,0.00,5.00,0.00,0.00,0.00,0.00,NULL
32,2023-01-19,2023,1,January,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,OFF-AR-10004042,6,90.00,4.00,86.40,518.40,420.00,98.40,18.98
